class,roc_auc
TV,0.9752351470413144
after,0.9843346684468179
airplane,0.9910925408426483
all,0.9622094545254136
alligator,0.9919425729205418
animal,0.9995304083605727
another,0.9973806405524468
any,0.9946288537974004
apple,0.9995353686124074
arm,0.9861230482738863
aunt,0.9998105353648467
awake,0.9978225706109245
backyard,0.9706178726271131
bad,0.98053194485987
balloon,0.9983796966064564
bath,0.9245877298287736
because,0.9964826956147893
bed,0.9935239322928655
bedroom,0.943686585903831
bee,0.9987542070920173
before,0.9829351012077406
beside,0.9654523853233254
better,0.9979199493864299
bird,0.9821850816852966
black,0.9998699198027305
blow,0.9766654266385593
blue,0.9997075395120089
boat,0.9766609846119894
book,0.9928855332013566
boy,0.9997879127218433
brother,0.9966385425623389
brown,0.9789526010318143
bug,0.999872747633106
bye,0.998416456270335
callonphone,0.9999767684306203
can,0.9821479730697608
car,0.9809124767225326
carrot,0.9991968961733799
cat,0.9769575221482798
cereal,0.9844497607655501
chair,0.9664855572237113
cheek,0.9916279231848159
child,0.9911448790042332
chin,0.9948871162489463
chocolate,0.9986699926530161
clean,0.9689517912428129
close,0.9828057347129014
closet,0.9909019366417025
cloud,0.9907643059938693
clown,0.984477603714573
cow,0.999639939810834
cowboy,0.9997059056409561
cry,0.9704019068876671
cut,0.9904884673817965
cute,0.999872226368412
dad,0.9825777370570203
dance,0.9662421242591869
dirty,0.9997940839421287
dog,0.9987716307690521
doll,0.9999543207222701
donkey,0.998911530883589
down,0.998389175257732
drawer,0.9826821611039488
drink,0.9999435726569218
drop,0.9896948252985405
dry,0.9993965196544455
dryer,0.9989836188396412
duck,0.9995254612333289
ear,0.9970147433347176
elephant,0.9688174260001916
empty,0.9766897053908227
every,0.9993988831423021
eye,0.9379489935105195
face,0.9705307542419394
fall,0.9525320393181536
farm,0.9956524075666381
fast,0.9840370290789284
feet,0.9475749653822279
find,0.9933496345657782
fine,0.9758329113147032
finger,0.984842829187734
finish,0.993940395982309
fireman,0.9998898860320431
first,0.9741643379191747
fish,0.9745947719072019
flag,0.9899725134887509
flower,0.9998077075344712
food,0.9944667190234089
for,0.9998444693293518
frenchfries,0.9984210308766999
frog,0.9944584521693602
garbage,0.9814002247654338
gift,0.9977914644767948
giraffe,0.9485043225238778
girl,0.9996352098815705
give,0.9602261957414545
glasswindow,0.9989280645916864
go,0.9967483707408479
goose,0.9892223774720551
grandma,0.9822214304297171
grandpa,0.9998228592834804
grass,0.9659981675659168
green,0.9994457452464172
gum,0.994932418468152
hair,0.9922181347221648
happy,0.9898713173852839
hat,0.9750458077968029
hate,0.9618955542255574
have,0.952827446768181
haveto,0.9841599797813861
head,0.9991714457000012
hear,0.9950396279196587
helicopter,0.9660209258361186
hello,0.9974290083908568
hen,0.99959844808669
hesheit,0.9908953054906173
hide,0.9810228954782027
high,0.9997589724676864
home,0.9784483114950605
horse,1.0
hot,0.9998416414989763
hungry,0.9901817330081704
icecream,0.9884350816852967
if,0.9838311130210572
into,0.9691215441913765
jacket,0.9987363366399192
jeans,0.9888187586955783
jump,0.9923563744952323
kiss,0.9990649183147033
kitty,0.9968724196047825
lamp,0.9821262113085472
later,0.999819018855973
like,0.9611767167758208
lion,0.9804031354983203
lips,0.999188521066208
listen,0.9946850816852967
look,0.9937785608104388
loud,0.9981153389340776
mad,0.9997850848914679
make,0.9982910576096302
man,0.9999173314595131
many,0.9999095094279865
milk,0.9998060211049038
minemy,0.975200299687245
mitten,0.9994300004774865
mom,0.9749708733471332
moon,0.9990159150293529
morning,0.9604714847005597
mouse,0.9997823938252282
mouth,0.9982778513013675
nap,0.9985719456604115
napkin,0.9997662295786758
night,0.9766822518481078
no,0.9587813880281915
noisy,0.9950155763239876
nose,0.9999390171303785
not,0.9606282977938722
now,0.9983186151661493
nuts,0.9777648437561447
old,0.999688615164166
on,0.9917305304875137
open,0.9313523611707969
orange,0.9706636905992091
outside,0.994434829821168
owie,0.9753587117413933
owl,0.9999677558039552
pajamas,0.972394218713402
pen,0.9863284608770422
pencil,0.9994259504337892
penny,0.9994433651607214
person,0.9986491307676054
pig,0.998836763193837
pizza,0.986186049011178
please,0.999838813668601
police,0.9826795389505355
pool,0.9958637730984099
potty,0.9891042462747264
pretend,0.9994330395528805
pretty,0.9997795505587016
puppy,0.9533354817918144
puzzle,0.9991438680735452
quiet,0.9824732607553837
radio,0.9988867303214429
rain,0.9977145943622789
read,0.9676656998603502
red,0.9861260325645801
refrigerator,0.9381784292664435
ride,0.95546850319075
room,0.9693314244727159
sad,0.9990878904366277
same,0.9989316239316239
say,0.9811525105478073
scissors,0.9812646230243995
see,0.9705920445307872
shhh,0.9999947564777164
shirt,0.9966883047127971
shoe,0.9996071390206099
shower,0.9904053618462128
sick,0.9993637381655299
sleep,0.9858862985962649
sleepy,0.9981909848121376
smile,0.9859739399870484
snack,0.9964454172180937
snow,0.9996097594081916
stairs,0.9950993699593924
stay,0.9774886092711386
sticky,0.991328110191445
store,0.9998670919723551
story,0.9952026809231064
stuck,0.9972629311046237
sun,0.9973132724341752
table,0.9913982484060886
talk,0.9947670813871782
taste,0.9991898483032282
thankyou,0.9987538940809968
that,0.9727086090467949
there,0.9783280809817123
think,0.9984733876190083
thirsty,0.9990629327221506
tiger,0.9954311853290896
time,0.9168193658362349
tomorrow,0.9998098623568801
tongue,0.9995434035238504
tooth,0.999688615164166
toothbrush,0.9985946348117224
touch,0.9614820579685734
toy,0.9834446028708412
tree,0.9821309398577036
uncle,0.9998952063628547
underwear,0.9481471371446658
up,0.9991981151572769
vacuum,0.9796088021253675
wait,0.9979589644430121
wake,0.9742933147033533
water,0.9996445252759063
wet,0.9718939502459055
weus,0.9933877145653228
where,0.9999622486997581
white,0.9991433358791262
who,0.9770726988147018
why,0.9999109924343569
will,0.9804390185823517
wolf,0.9990413655027317
yellow,0.9996550046941983
yes,0.998755754634814
yesterday,0.9998334049871024
yourself,0.9707188029595337
yucky,0.9982227849424583
zebra,0.9998614363116043
zipper,0.992402118674397
