class,pr_auc
TV,0.8880892718820346
after,0.7998313189499326
airplane,0.9516428507658581
all,0.8307683159649826
alligator,0.9430114619021873
animal,0.8579472388189643
another,0.8828809523229326
any,0.7975727891812799
apple,0.9745793527043524
arm,0.8925925525583673
aunt,0.9347769215756793
awake,0.5278006435159754
backyard,0.7565778249422874
bad,0.7132594844848447
balloon,0.9426073708386046
bath,0.8789953799466756
because,0.9302578481101056
bed,0.7845601759468512
bedroom,0.7230502082819132
bee,0.8024257709237633
before,0.7755852435584744
beside,0.5387480947673862
better,0.9327106082453815
bird,0.9271317894511405
black,0.9792985342206278
blow,0.8638140733027065
blue,0.8766975907400663
boat,0.889646155283654
book,0.8621608325512446
boy,0.8914591396108098
brother,0.8544154414666624
brown,0.9713227815916603
bug,0.9099024961248322
bye,0.8575486464817825
callonphone,0.9951951951951952
can,0.7434998746016546
car,0.8632462416777602
carrot,0.9038946009589799
cat,0.8495919083840889
cereal,0.8533750667715865
chair,0.910246694414148
cheek,0.9283995382365304
child,0.7800177787615449
chin,0.9012397991448222
chocolate,0.9523041705700183
clean,0.7618943557638727
close,0.8051726079080544
closet,0.9555561289213536
cloud,0.9054666750839078
clown,0.9726591997048781
cow,0.9661429117876001
cowboy,0.8903768472478442
cry,0.8907890273995656
cut,0.7260797064488437
cute,0.9209356601171674
dad,0.8995986354309345
dance,0.7567662103132918
dirty,0.950382124232128
dog,0.9008297278540104
doll,0.9915423431329532
donkey,0.9322319342514034
down,0.7210970346944835
drawer,0.9026867560224957
drink,0.9900162337662339
drop,0.8059688834971103
dry,0.818502189839255
dryer,0.8141454277954566
duck,0.8600947947058479
ear,0.8660578203560296
elephant,0.7967363105170634
empty,0.8601062168242742
every,0.9052421011708738
eye,0.8132209349231609
face,0.7724471380807817
fall,0.7844176158355547
farm,0.9163437825860157
fast,0.8428188851674585
feet,0.8253652819263642
find,0.9318437023889312
fine,0.8604728875760693
finger,0.8716338401643068
finish,0.8709187008918606
fireman,0.986408111174135
first,0.9436877268606573
fish,0.7030342955515793
flag,0.8573483513845794
flower,0.9771560080424346
food,0.8895744273888215
for,0.9334612413941036
frenchfries,0.8416183834810629
frog,0.9741895551108299
garbage,0.9527738318089983
gift,0.903311289864869
giraffe,0.8587753148498614
girl,0.9397092594988774
give,0.5614610418836917
glasswindow,0.8633504326475397
go,0.7973880100086759
goose,0.8105446325935934
grandma,0.8405516622708625
grandpa,0.8971495609830991
grass,0.9103308432335228
green,0.8611279827519018
gum,0.9748914557221267
hair,0.9480746115481062
happy,0.9152988351972643
hat,0.8071820740860005
hate,0.6960922738564577
have,0.8345003594578948
haveto,0.8992085185624497
head,0.8921407812469717
hear,0.8618760096312824
helicopter,0.8783042231724757
hello,0.8752987070260007
hen,0.9661097132072365
hesheit,0.8145771029917748
hide,0.8063295481321183
high,0.9731000577639233
home,0.9543700045649598
horse,1.0
hot,0.904552049126613
hungry,0.9419505478511566
icecream,0.9253518297665149
if,0.9012875139577684
into,0.7488522182105662
jacket,0.9123827308732176
jeans,0.5931543387777942
jump,0.7117387779048231
kiss,0.880518491162124
kitty,0.8341135150070204
lamp,0.7484987285937782
later,0.8966278291698985
like,0.9187981949928502
lion,0.9433536795884331
lips,0.7770065377257209
listen,0.9459180315699489
look,0.7793199711248663
loud,0.8593692608229302
mad,0.9672036989057033
make,0.9427204489935005
man,0.9846900559666518
many,0.9705177521348248
milk,0.956610407038915
minemy,0.9234967064569998
mitten,0.9758753960450126
mom,0.8423810060307751
moon,0.9718577153195043
morning,0.8245574228679945
mouse,0.9566323896547284
mouth,0.7585646264063508
nap,0.8435248688582796
napkin,0.9626813392765652
night,0.7121168377581819
no,0.8548525013632946
noisy,0.7920716685780615
nose,0.9878224736364267
not,0.814052946227055
now,0.9499232264818251
nuts,0.9757270994441932
old,0.9686220141865304
on,0.607833999932612
open,0.6155033897492793
orange,0.9480471693263607
outside,0.8979860064088555
owie,0.8879368746497408
owl,0.9929145283023988
pajamas,0.730388152442472
pen,0.7539890713152411
pencil,0.8758122107737502
penny,0.9463078266229562
person,0.7438489043192553
pig,0.8615993192554928
pizza,0.9424124938109699
please,0.9165362041171282
police,0.8681122242646477
pool,0.8945288204406487
potty,0.8538569062716865
pretend,0.8747897276228593
pretty,0.9196476773646767
puppy,0.750993541059118
puzzle,0.9094077579096422
quiet,0.9378838175520153
radio,0.9766163107020894
rain,0.7317084409351389
read,0.91701488535073
red,0.8839387875730058
refrigerator,0.8665349703363628
ride,0.730028305175951
room,0.6901501542404468
sad,0.9510382477119445
same,0.9672795820418468
say,0.7926085060041903
scissors,0.8786692756858169
see,0.8289299320819221
shhh,0.9988655700510494
shirt,0.872128727926895
shoe,0.8545199662096072
shower,0.9477977025893058
sick,0.9526002269706483
sleep,0.630058813941323
sleepy,0.7021957508116385
smile,0.8889691562412962
snack,0.9208675181131072
snow,0.9450381834613623
stairs,0.7994722887948491
stay,0.9214407969124319
sticky,0.7846223917863643
store,0.9636228483613951
story,0.878010399818371
stuck,0.9490199844309807
sun,0.8652621504262394
table,0.8838192567078197
talk,0.9183442067059794
taste,0.8880101431315207
thankyou,0.9034154285916645
that,0.8437809049262118
there,0.6622318565285192
think,0.9025357398919189
thirsty,0.9504277360413254
tiger,0.9524277815133362
time,0.7831608544172349
tomorrow,0.9422298935490928
tongue,0.8945588507590396
tooth,0.9426089651778001
toothbrush,0.9410554855415001
touch,0.891632569286194
toy,0.7540354212016459
tree,0.7458738877646613
uncle,0.9299266679290298
underwear,0.8099527234227787
up,0.9049309038866631
vacuum,0.7156015307217042
wait,0.7998224331446175
wake,0.5444049969338133
water,0.9752287021154945
wet,0.8396643624754514
weus,0.763344893273436
where,0.9907078795364498
white,0.9546521374846723
who,0.8850164159084162
why,0.9782497483428256
will,0.918948326308177
wolf,0.8716727611587898
yellow,0.9371288708598845
yes,0.8513440246171259
yesterday,0.9768587735198014
yourself,0.9392109282321789
yucky,0.9107343660589642
zebra,0.9601732897710732
zipper,0.6216642062642319
